player_name,team,stat_type,line,platform,game_date,retrieved_at,line_category,standard_line
Devin Booker,PHX,points_rebounds_assists,37.5,PrizePicks,2026-04-14,,,37.5
LaMelo Ball,CHA,fantasy_score_pp,50.5,PrizePicks,2026-04-14,,,44.5
Bam Adebayo,MIA,fantasy_score_pp,50.5,PrizePicks,2026-04-14,,,43.0
LaMelo Ball,CHA,points_rebounds_assists,49.5,PrizePicks,2026-04-14,,,36.5
Bam Adebayo,MIA,points_rebounds,44.5,PrizePicks,2026-04-14,,,33.0
Bam Adebayo,MIA,points_rebounds_assists,44.5,PrizePicks,2026-04-14,,,35.5
LaMelo Ball,CHA,points_rebounds_assists,44.5,PrizePicks,2026-04-14,,,36.5
Tyler Herro,MIA,points_rebounds_assists,44.5,PrizePicks,2026-04-14,,,30.5
LaMelo Ball,CHA,fantasy_score_pp,44.5,PrizePicks,2026-04-14,,,44.5
Bam Adebayo,MIA,fantasy_score_pp,43.0,PrizePicks,2026-04-14,,,43.0
Brandon Miller,CHA,fantasy_score_pp,41.0,PrizePicks,2026-04-14,,,34.5
Tyler Herro,MIA,fantasy_score_pp,41.0,PrizePicks,2026-04-14,,,35.0
Bam Adebayo,MIA,points_rebounds,39.5,PrizePicks,2026-04-14,,,33.0
Bam Adebayo,MIA,points_rebounds_assists,39.5,PrizePicks,2026-04-14,,,35.5
Brandon Miller,CHA,points_rebounds_assists,39.5,PrizePicks,2026-04-14,,,29.0
Kon Knueppel,CHA,points_rebounds_assists,39.5,PrizePicks,2026-04-14,,,28.5
LaMelo Ball,CHA,points_assists,39.5,PrizePicks,2026-04-14,,,33.0
LaMelo Ball,CHA,points_rebounds,39.5,PrizePicks,2026-04-14,,,31.25
LaMelo Ball,CHA,points_rebounds_assists,39.5,PrizePicks,2026-04-14,,,36.5
Tyler Herro,MIA,points_rebounds_assists,39.5,PrizePicks,2026-04-14,,,30.5
Tyler Herro,MIA,points_rebounds,39.5,PrizePicks,2026-04-14,,,27.5
Bam Adebayo,MIA,fantasy_score_pp,38.5,PrizePicks,2026-04-14,,,43.0
Kon Knueppel,CHA,fantasy_score_pp,38.0,PrizePicks,2026-04-14,,,33.0
Bam Adebayo,MIA,points_rebounds_assists,37.5,PrizePicks,2026-04-14,,,35.5
LaMelo Ball,CHA,fantasy_score_pp,37.5,PrizePicks,2026-04-14,,,44.5
LaMelo Ball,CHA,points_rebounds_assists,36.5,PrizePicks,2026-04-14,,,36.5
Bam Adebayo,MIA,points_rebounds_assists,35.5,PrizePicks,2026-04-14,,,35.5
Tyler Herro,MIA,fantasy_score_pp,35.0,PrizePicks,2026-04-14,,,35.0
Bam Adebayo,MIA,points_assists,34.5,PrizePicks,2026-04-14,,,26.5
Bam Adebayo,MIA,points_rebounds,34.5,PrizePicks,2026-04-14,,,33.0
Brandon Miller,CHA,points_assists,34.5,PrizePicks,2026-04-14,,,23.5
Brandon Miller,CHA,points_rebounds,34.5,PrizePicks,2026-04-14,,,27.5
Brandon Miller,CHA,points_rebounds_assists,34.5,PrizePicks,2026-04-14,,,29.0
Kon Knueppel,CHA,points_assists,34.5,PrizePicks,2026-04-14,,,23.0
Kon Knueppel,CHA,points_rebounds,34.5,PrizePicks,2026-04-14,,,26.75
Kon Knueppel,CHA,points_rebounds_assists,34.5,PrizePicks,2026-04-14,,,28.5
LaMelo Ball,CHA,points_assists,34.5,PrizePicks,2026-04-14,,,33.0
LaMelo Ball,CHA,points_rebounds,34.5,PrizePicks,2026-04-14,,,31.25
Miles Bridges,CHA,points_rebounds_assists,34.5,PrizePicks,2026-04-14,,,23.5
Norman Powell,MIA,points_rebounds_assists,34.5,PrizePicks,2026-04-14,,,28.5
Tyler Herro,MIA,points_assists,34.5,PrizePicks,2026-04-14,,,25.5
Tyler Herro,MIA,points_rebounds_assists,34.5,PrizePicks,2026-04-14,,,30.5
Tyler Herro,MIA,points_rebounds,34.5,PrizePicks,2026-04-14,,,27.5
LaMelo Ball,CHA,points,34.5,PrizePicks,2026-04-14,,,23.75
Brandon Miller,CHA,fantasy_score_pp,34.5,PrizePicks,2026-04-14,,,34.5
Miles Bridges,CHA,fantasy_score_pp,34.5,PrizePicks,2026-04-14,,,29.0
Moussa Diabaté,CHA,fantasy_score_pp,34.5,PrizePicks,2026-04-14,,,28.5
Bam Adebayo,MIA,points_rebounds_assists,33.5,PrizePicks,2026-04-14,,,35.5
LaMelo Ball,CHA,points_rebounds_assists,33.5,PrizePicks,2026-04-14,,,36.5
Andrew Wiggins,MIA,fantasy_score_pp,33.5,PrizePicks,2026-04-14,,,28.0
Kon Knueppel,CHA,fantasy_score_pp,33.0,PrizePicks,2026-04-14,,,33.0
LaMelo Ball,CHA,points_rebounds_assists,32.5,PrizePicks,2026-04-14,,,36.5
Brandon Miller,CHA,points_rebounds_assists,32.5,PrizePicks,2026-04-14,,,29.0
Bam Adebayo,MIA,points_rebounds,31.5,PrizePicks,2026-04-14,,,33.0
LaMelo Ball,CHA,points_assists,31.5,PrizePicks,2026-04-14,,,33.0
Bam Adebayo,MIA,points_rebounds_assists,31.5,PrizePicks,2026-04-14,,,35.5
Tyler Herro,MIA,points_rebounds_assists,30.5,PrizePicks,2026-04-14,,,30.5
Brandon Miller,CHA,points_rebounds_assists,30.5,PrizePicks,2026-04-14,,,29.0
Kon Knueppel,CHA,points_rebounds_assists,30.5,PrizePicks,2026-04-14,,,28.5
Norman Powell,MIA,fantasy_score_pp,30.0,PrizePicks,2026-04-14,,,24.5
Tyler Herro,MIA,fantasy_score_pp,30.0,PrizePicks,2026-04-14,,,35.0
Andrew Wiggins,MIA,points_rebounds_assists,29.5,PrizePicks,2026-04-14,,,23.5
Bam Adebayo,MIA,points,29.5,PrizePicks,2026-04-14,,,21.5
Bam Adebayo,MIA,points_assists,29.5,PrizePicks,2026-04-14,,,26.5
Bam Adebayo,MIA,points_rebounds,29.5,PrizePicks,2026-04-14,,,33.0
Bam Adebayo,MIA,points_rebounds_assists,29.5,PrizePicks,2026-04-14,,,35.5
Brandon Miller,CHA,points,29.5,PrizePicks,2026-04-14,,,20.5
Brandon Miller,CHA,points_assists,29.5,PrizePicks,2026-04-14,,,23.5
Brandon Miller,CHA,points_rebounds,29.5,PrizePicks,2026-04-14,,,27.5
Kon Knueppel,CHA,points_assists,29.5,PrizePicks,2026-04-14,,,23.0
Kon Knueppel,CHA,points_rebounds,29.5,PrizePicks,2026-04-14,,,26.75
Kon Knueppel,CHA,points_rebounds_assists,29.5,PrizePicks,2026-04-14,,,28.5
LaMelo Ball,CHA,points,29.5,PrizePicks,2026-04-14,,,23.75
LaMelo Ball,CHA,points_rebounds_assists,29.5,PrizePicks,2026-04-14,,,36.5
Miles Bridges,CHA,points_rebounds,29.5,PrizePicks,2026-04-14,,,22.75
Miles Bridges,CHA,points_rebounds_assists,29.5,PrizePicks,2026-04-14,,,23.5
Norman Powell,MIA,points,29.5,PrizePicks,2026-04-14,,,20.0
Norman Powell,MIA,points_rebounds_assists,29.5,PrizePicks,2026-04-14,,,28.5
Tyler Herro,MIA,points,29.5,PrizePicks,2026-04-14,,,20.5
Tyler Herro,MIA,points_assists,29.5,PrizePicks,2026-04-14,,,25.5
Andrew Wiggins,MIA,points_rebounds,29.5,PrizePicks,2026-04-14,,,19.5
Moussa Diabaté,CHA,points_rebounds_assists,29.5,PrizePicks,2026-04-14,,,21.0
Norman Powell,MIA,points_assists,29.5,PrizePicks,2026-04-14,,,21.25
Norman Powell,MIA,points_rebounds,29.5,PrizePicks,2026-04-14,,,24.5
Tyler Herro,MIA,points_rebounds,29.5,PrizePicks,2026-04-14,,,27.5
Kon Knueppel,CHA,points,29.5,PrizePicks,2026-04-14,,,21.5
Moussa Diabaté,CHA,points_rebounds,29.5,PrizePicks,2026-04-14,,,18.5
Brandon Miller,CHA,fantasy_score_pp,29.5,PrizePicks,2026-04-14,,,34.5
Brandon Miller,CHA,points_rebounds_assists,29.0,PrizePicks,2026-04-14,,,29.0
Miles Bridges,CHA,fantasy_score_pp,29.0,PrizePicks,2026-04-14,,,29.0
Jaime Jaquez,MIA,fantasy_score_pp,29.0,PrizePicks,2026-04-14,,,24.0
Tyler Herro,MIA,points_rebounds_assists,28.5,PrizePicks,2026-04-14,,,30.5
Miles Bridges,CHA,points_rebounds_assists,28.5,PrizePicks,2026-04-14,,,23.5
Norman Powell,MIA,points_rebounds_assists,28.5,PrizePicks,2026-04-14,,,28.5
Moussa Diabaté,CHA,fantasy_score_pp,28.5,PrizePicks,2026-04-14,,,28.5
Bam Adebayo,MIA,points_assists,28.5,PrizePicks,2026-04-14,,,26.5
LaMelo Ball,CHA,points_rebounds,28.0,PrizePicks,2026-04-14,,,31.25
Andrew Wiggins,MIA,fantasy_score_pp,28.0,PrizePicks,2026-04-14,,,28.0
Brandon Miller,CHA,points_rebounds_assists,27.5,PrizePicks,2026-04-14,,,29.0
Tyler Herro,MIA,points_rebounds_assists,27.5,PrizePicks,2026-04-14,,,30.5
Kon Knueppel,CHA,points_rebounds_assists,27.5,PrizePicks,2026-04-14,,,28.5
Davion Mitchell,MIA,fantasy_score_pp,27.0,PrizePicks,2026-04-14,,,22.5
Brandon Miller,CHA,points_rebounds_assists,26.5,PrizePicks,2026-04-14,,,29.0
LaMelo Ball,CHA,points,26.5,PrizePicks,2026-04-14,,,23.75
Tyler Herro,MIA,points,26.5,PrizePicks,2026-04-14,,,20.5
Miles Bridges,CHA,points_rebounds_assists,26.5,PrizePicks,2026-04-14,,,23.5
Kon Knueppel,CHA,points_assists,26.5,PrizePicks,2026-04-14,,,23.0
Kon Knueppel,CHA,fantasy_score_pp,26.0,PrizePicks,2026-04-14,,,33.0
Brandon Miller,CHA,points_rebounds,25.5,PrizePicks,2026-04-14,,,27.5
Tyler Herro,MIA,points_rebounds,25.5,PrizePicks,2026-04-14,,,27.5
Tyler Herro,MIA,points_assists,25.5,PrizePicks,2026-04-14,,,25.5
Bam Adebayo,MIA,points,25.5,PrizePicks,2026-04-14,,,21.5
Jaime Jaquez,MIA,points_rebounds_assists,25.5,PrizePicks,2026-04-14,,,19.5
Brandon Miller,CHA,points_rebounds_assists,25.5,PrizePicks,2026-04-14,,,29.0
Andrew Wiggins,MIA,points_rebounds_assists,25.5,PrizePicks,2026-04-14,,,23.5
Tyler Herro,MIA,points_assists,25.5,PrizePicks,2026-04-14,,,25.5
Andrew Wiggins,MIA,points_assists,24.5,PrizePicks,2026-04-14,,,15.5
Andrew Wiggins,MIA,points_rebounds,24.5,PrizePicks,2026-04-14,,,19.5
Andrew Wiggins,MIA,points_rebounds_assists,24.5,PrizePicks,2026-04-14,,,23.5
Bam Adebayo,MIA,points,24.5,PrizePicks,2026-04-14,,,21.5
Bam Adebayo,MIA,points_assists,24.5,PrizePicks,2026-04-14,,,26.5
Bam Adebayo,MIA,points_rebounds,24.5,PrizePicks,2026-04-14,,,33.0
Brandon Miller,CHA,points,24.5,PrizePicks,2026-04-14,,,20.5
Brandon Miller,CHA,points_rebounds_assists,24.5,PrizePicks,2026-04-14,,,29.0
Davion Mitchell,MIA,points_rebounds_assists,24.5,PrizePicks,2026-04-14,,,17.0
Kon Knueppel,CHA,points,24.5,PrizePicks,2026-04-14,,,21.5
Kon Knueppel,CHA,points_assists,24.5,PrizePicks,2026-04-14,,,23.0
Kon Knueppel,CHA,points_rebounds_assists,24.5,PrizePicks,2026-04-14,,,28.5
LaMelo Ball,CHA,points,24.5,PrizePicks,2026-04-14,,,23.75
LaMelo Ball,CHA,points_assists,24.5,PrizePicks,2026-04-14,,,33.0
LaMelo Ball,CHA,points_rebounds,24.5,PrizePicks,2026-04-14,,,31.25
Miles Bridges,CHA,points_assists,24.5,PrizePicks,2026-04-14,,,18.0
Miles Bridges,CHA,points_rebounds,24.5,PrizePicks,2026-04-14,,,22.75
Norman Powell,MIA,points,24.5,PrizePicks,2026-04-14,,,20.0
Norman Powell,MIA,points_assists,24.5,PrizePicks,2026-04-14,,,21.25
Tyler Herro,MIA,points,24.5,PrizePicks,2026-04-14,,,20.5
Tyler Herro,MIA,points_rebounds_assists,24.5,PrizePicks,2026-04-14,,,30.5
Moussa Diabaté,CHA,points_rebounds,24.5,PrizePicks,2026-04-14,,,18.5
Moussa Diabaté,CHA,points_rebounds_assists,24.5,PrizePicks,2026-04-14,,,21.0
Norman Powell,MIA,points_rebounds,24.5,PrizePicks,2026-04-14,,,24.5
Pelle Larsson,MIA,points_rebounds_assists,24.5,PrizePicks,2026-04-14,,,14.5
Tyler Herro,MIA,points_rebounds,24.5,PrizePicks,2026-04-14,,,27.5
Norman Powell,MIA,fantasy_score_pp,24.5,PrizePicks,2026-04-14,,,24.5
Coby White,CHA,points_rebounds,24.5,PrizePicks,2026-04-14,,,18.0
Coby White,CHA,points_assists,24.5,PrizePicks,2026-04-14,,,16.5
Jaime Jaquez,MIA,points_rebounds,24.5,PrizePicks,2026-04-14,,,16.0
Kel'el Ware,MIA,points_rebounds,24.5,PrizePicks,2026-04-14,,,14.5
Jaime Jaquez,MIA,points_assists,24.5,PrizePicks,2026-04-14,,,16.0
Pelle Larsson,MIA,fantasy_score_pp,24.5,PrizePicks,2026-04-14,,,19.0
Kon Knueppel,CHA,points_rebounds,24.0,PrizePicks,2026-04-14,,,26.75
Jaime Jaquez,MIA,fantasy_score_pp,24.0,PrizePicks,2026-04-14,,,24.0
Miles Bridges,CHA,points_rebounds_assists,23.5,PrizePicks,2026-04-14,,,23.5
Andrew Wiggins,MIA,points_rebounds_assists,23.5,PrizePicks,2026-04-14,,,23.5
Brandon Miller,CHA,points,23.5,PrizePicks,2026-04-14,,,20.5
Moussa Diabaté,CHA,points_rebounds_assists,23.5,PrizePicks,2026-04-14,,,21.0
Norman Powell,MIA,points_rebounds_assists,23.5,PrizePicks,2026-04-14,,,28.5
Brandon Miller,CHA,points_assists,23.5,PrizePicks,2026-04-14,,,23.5
Kon Knueppel,CHA,points_rebounds_assists,23.5,PrizePicks,2026-04-14,,,28.5
Coby White,CHA,points_rebounds_assists,23.5,PrizePicks,2026-04-14,,,18.0
Jaime Jaquez,MIA,points_rebounds_assists,23.5,PrizePicks,2026-04-14,,,19.5
Miles Bridges,CHA,fantasy_score_pp,23.5,PrizePicks,2026-04-14,,,29.0
Moussa Diabaté,CHA,fantasy_score_pp,23.5,PrizePicks,2026-04-14,,,28.5
Andrew Wiggins,MIA,fantasy_score_pp,23.5,PrizePicks,2026-04-14,,,28.0
Kon Knueppel,CHA,points,23.5,PrizePicks,2026-04-14,,,21.5
Tyler Herro,MIA,points_assists,23.5,PrizePicks,2026-04-14,,,25.5
Kon Knueppel,CHA,points_assists,23.5,PrizePicks,2026-04-14,,,23.0
LaMelo Ball,CHA,points,23.0,PrizePicks,2026-04-14,,,23.75
Kon Knueppel,CHA,points_assists,22.5,PrizePicks,2026-04-14,,,23.0
Davion Mitchell,MIA,fantasy_score_pp,22.5,PrizePicks,2026-04-14,,,22.5
Miles Bridges,CHA,points_rebounds_assists,22.5,PrizePicks,2026-04-14,,,23.5
Bam Adebayo,MIA,points_assists,22.5,PrizePicks,2026-04-14,,,26.5
Bam Adebayo,MIA,points,21.5,PrizePicks,2026-04-14,,,21.5
Kon Knueppel,CHA,points,21.5,PrizePicks,2026-04-14,,,21.5
Miles Bridges,CHA,points_rebounds_assists,21.5,PrizePicks,2026-04-14,,,23.5
Coby White,CHA,points_rebounds_assists,21.5,PrizePicks,2026-04-14,,,18.0
Jaime Jaquez,MIA,points_rebounds_assists,21.5,PrizePicks,2026-04-14,,,19.5
Moussa Diabaté,CHA,points_rebounds_assists,21.0,PrizePicks,2026-04-14,,,21.0
Miles Bridges,CHA,points_rebounds,21.0,PrizePicks,2026-04-14,,,22.75
Andrew Wiggins,MIA,points_rebounds_assists,20.5,PrizePicks,2026-04-14,,,23.5
Tyler Herro,MIA,points,20.5,PrizePicks,2026-04-14,,,20.5
Miles Bridges,CHA,points_rebounds_assists,20.5,PrizePicks,2026-04-14,,,23.5
LaMelo Ball,CHA,points,20.5,PrizePicks,2026-04-14,,,23.75
Brandon Miller,CHA,points,20.5,PrizePicks,2026-04-14,,,20.5
Kon Knueppel,CHA,points_assists,20.5,PrizePicks,2026-04-14,,,23.0
Brandon Miller,CHA,points_assists,20.5,PrizePicks,2026-04-14,,,23.5
Norman Powell,MIA,fantasy_score_pp,20.0,PrizePicks,2026-04-14,,,24.5
Andrew Wiggins,MIA,points,19.5,PrizePicks,2026-04-14,,,15.0
Andrew Wiggins,MIA,points_assists,19.5,PrizePicks,2026-04-14,,,15.5
Bam Adebayo,MIA,points,19.5,PrizePicks,2026-04-14,,,21.5
Bam Adebayo,MIA,points_assists,19.5,PrizePicks,2026-04-14,,,26.5
Bam Adebayo,MIA,rebounds_assists,19.5,PrizePicks,2026-04-14,,,15.25
Brandon Miller,CHA,points_assists,19.5,PrizePicks,2026-04-14,,,23.5
Davion Mitchell,MIA,points_rebounds_assists,19.5,PrizePicks,2026-04-14,,,17.0
Kon Knueppel,CHA,points_assists,19.5,PrizePicks,2026-04-14,,,23.0
Kon Knueppel,CHA,points_rebounds,19.5,PrizePicks,2026-04-14,,,26.75
LaMelo Ball,CHA,points,19.5,PrizePicks,2026-04-14,,,23.75
Miles Bridges,CHA,points,19.5,PrizePicks,2026-04-14,,,14.25
Miles Bridges,CHA,points_assists,19.5,PrizePicks,2026-04-14,,,18.0
Miles Bridges,CHA,points_rebounds_assists,19.5,PrizePicks,2026-04-14,,,23.5
Tyler Herro,MIA,points,19.5,PrizePicks,2026-04-14,,,20.5
Tyler Herro,MIA,points_assists,19.5,PrizePicks,2026-04-14,,,25.5
Brandon Miller,CHA,points_rebounds,19.5,PrizePicks,2026-04-14,,,27.5
Davion Mitchell,MIA,points_assists,19.5,PrizePicks,2026-04-14,,,14.5
Moussa Diabaté,CHA,points_rebounds_assists,19.5,PrizePicks,2026-04-14,,,21.0
Norman Powell,MIA,points_rebounds_assists,19.5,PrizePicks,2026-04-14,,,28.5
Pelle Larsson,MIA,points_assists,19.5,PrizePicks,2026-04-14,,,14.5
Pelle Larsson,MIA,points_rebounds_assists,19.5,PrizePicks,2026-04-14,,,14.5
Tyler Herro,MIA,points_rebounds,19.5,PrizePicks,2026-04-14,,,27.5
Pelle Larsson,MIA,points_rebounds,19.5,PrizePicks,2026-04-14,,,12.0
Coby White,CHA,points_rebounds_assists,19.5,PrizePicks,2026-04-14,,,18.0
Jaime Jaquez,MIA,points_rebounds_assists,19.5,PrizePicks,2026-04-14,,,19.5
Jaime Jaquez,MIA,points,19.5,PrizePicks,2026-04-14,,,12.25
Davion Mitchell,MIA,points_rebounds,19.5,PrizePicks,2026-04-14,,,11.0
Kon Knueppel,CHA,points_rebounds_assists,19.5,PrizePicks,2026-04-14,,,28.5
Jaime Jaquez,MIA,points_assists,19.5,PrizePicks,2026-04-14,,,16.0
Jaime Jaquez,MIA,points_rebounds,19.5,PrizePicks,2026-04-14,,,16.0
Coby White,CHA,points_rebounds,19.5,PrizePicks,2026-04-14,,,18.0
Coby White,CHA,points_assists,19.5,PrizePicks,2026-04-14,,,16.5
Kel'el Ware,MIA,points_rebounds,19.5,PrizePicks,2026-04-14,,,14.5
Andrew Wiggins,MIA,points_rebounds,19.5,PrizePicks,2026-04-14,,,19.5
Jaime Jaquez,MIA,fantasy_score_pp,19.0,PrizePicks,2026-04-14,,,24.0
Pelle Larsson,MIA,fantasy_score_pp,19.0,PrizePicks,2026-04-14,,,19.0
Moussa Diabaté,CHA,points_rebounds,18.5,PrizePicks,2026-04-14,,,18.5
Bam Adebayo,MIA,points,18.5,PrizePicks,2026-04-14,,,21.5
Davion Mitchell,MIA,points_rebounds_assists,18.5,PrizePicks,2026-04-14,,,17.0
Tyler Herro,MIA,points,18.5,PrizePicks,2026-04-14,,,20.5
Moussa Diabaté,CHA,points_rebounds_assists,18.5,PrizePicks,2026-04-14,,,21.0
Andrew Wiggins,MIA,points_rebounds_assists,18.5,PrizePicks,2026-04-14,,,23.5
Kon Knueppel,CHA,points,18.5,PrizePicks,2026-04-14,,,21.5
Kon Knueppel,CHA,points_assists,18.5,PrizePicks,2026-04-14,,,23.0
Miles Bridges,CHA,points_assists,18.0,PrizePicks,2026-04-14,,,18.0
Norman Powell,MIA,points_assists,18.0,PrizePicks,2026-04-14,,,21.25
Andrew Wiggins,MIA,points_rebounds,18.0,PrizePicks,2026-04-14,,,19.5
Andrew Wiggins,MIA,points,17.5,PrizePicks,2026-04-14,,,15.0
Bam Adebayo,MIA,points,17.5,PrizePicks,2026-04-14,,,21.5
Bam Adebayo,MIA,rebounds_assists,17.5,PrizePicks,2026-04-14,,,15.25
Brandon Miller,CHA,points,17.5,PrizePicks,2026-04-14,,,20.5
LaMelo Ball,CHA,points,17.5,PrizePicks,2026-04-14,,,23.75
LaMelo Ball,CHA,rebounds_assists,17.5,PrizePicks,2026-04-14,,,14.0
Miles Bridges,CHA,points,17.5,PrizePicks,2026-04-14,,,14.25
Pelle Larsson,MIA,points,17.5,PrizePicks,2026-04-14,,,9.75
Moussa Diabaté,CHA,rebounds_assists,17.5,PrizePicks,2026-04-14,,,12.5
Tyler Herro,MIA,points,17.5,PrizePicks,2026-04-14,,,20.5
Norman Powell,MIA,points_rebounds,17.5,PrizePicks,2026-04-14,,,24.5
Coby White,CHA,points,17.5,PrizePicks,2026-04-14,,,13.5
Moussa Diabaté,CHA,points_rebounds,17.5,PrizePicks,2026-04-14,,,18.5
Jaime Jaquez,MIA,points_rebounds_assists,17.5,PrizePicks,2026-04-14,,,19.5
Davion Mitchell,MIA,points_assists,17.5,PrizePicks,2026-04-14,,,14.5
Kon Knueppel,CHA,points_assists,17.5,PrizePicks,2026-04-14,,,23.0
Coby White,CHA,points_assists,17.5,PrizePicks,2026-04-14,,,16.5
Davion Mitchell,MIA,points_rebounds_assists,17.0,PrizePicks,2026-04-14,,,17.0
Kel'el Ware,MIA,points_rebounds_assists,17.0,PrizePicks,2026-04-14,,,16.25
Davion Mitchell,MIA,fantasy_score_pp,17.0,PrizePicks,2026-04-14,,,22.5
Andrew Wiggins,MIA,points,16.5,PrizePicks,2026-04-14,,,15.0
Brandon Miller,CHA,points,16.5,PrizePicks,2026-04-14,,,20.5
Miles Bridges,CHA,points,16.5,PrizePicks,2026-04-14,,,14.25
Coby White,CHA,points_assists,16.5,PrizePicks,2026-04-14,,,16.5
LaMelo Ball,CHA,rebounds_assists,16.5,PrizePicks,2026-04-14,,,14.0
Moussa Diabaté,CHA,rebounds_assists,16.5,PrizePicks,2026-04-14,,,12.5
Coby White,CHA,points_rebounds,16.5,PrizePicks,2026-04-14,,,18.0
Bam Adebayo,MIA,rebounds_assists,16.5,PrizePicks,2026-04-14,,,15.25
Coby White,CHA,points_rebounds_assists,16.5,PrizePicks,2026-04-14,,,18.0
Jaime Jaquez,MIA,points_rebounds_assists,16.5,PrizePicks,2026-04-14,,,19.5
Andrew Wiggins,MIA,points_rebounds_assists,16.5,PrizePicks,2026-04-14,,,23.5
Jaime Jaquez,MIA,points_rebounds,16.5,PrizePicks,2026-04-14,,,16.0
Miles Bridges,CHA,points_assists,16.5,PrizePicks,2026-04-14,,,18.0
Jaime Jaquez,MIA,points_assists,16.5,PrizePicks,2026-04-14,,,16.0
Moussa Diabaté,CHA,points_rebounds_assists,16.5,PrizePicks,2026-04-14,,,21.0
Kel'el Ware,MIA,points_rebounds,16.0,PrizePicks,2026-04-14,,,14.5
Brandon Miller,CHA,fga,16.0,PrizePicks,2026-04-14,,,16.0
Andrew Wiggins,MIA,points_assists,15.5,PrizePicks,2026-04-14,,,15.5
Norman Powell,MIA,points,15.5,PrizePicks,2026-04-14,,,20.0
Davion Mitchell,MIA,points_rebounds_assists,15.5,PrizePicks,2026-04-14,,,17.0
Kon Knueppel,CHA,points,15.5,PrizePicks,2026-04-14,,,21.5
Coby White,CHA,points,15.5,PrizePicks,2026-04-14,,,13.5
Jaime Jaquez,MIA,points_assists,15.5,PrizePicks,2026-04-14,,,16.0
Jaime Jaquez,MIA,points_rebounds,15.5,PrizePicks,2026-04-14,,,16.0
Coby White,CHA,points_rebounds_assists,15.5,PrizePicks,2026-04-14,,,18.0
Grant Williams,CHA,points_rebounds_assists,15.5,PrizePicks,2026-04-14,,,11.0
Davion Mitchell,MIA,points_assists,15.5,PrizePicks,2026-04-14,,,14.5
Coby White,CHA,points_assists,15.5,PrizePicks,2026-04-14,,,16.5
Kel'el Ware,MIA,points_rebounds_assists,15.5,PrizePicks,2026-04-14,,,16.25
Miles Bridges,CHA,points,15.0,PrizePicks,2026-04-14,,,14.25
Pelle Larsson,MIA,fantasy_score_pp,15.0,PrizePicks,2026-04-14,,,19.0
Andrew Wiggins,MIA,points_assists,14.5,PrizePicks,2026-04-14,,,15.5
Andrew Wiggins,MIA,points_rebounds,14.5,PrizePicks,2026-04-14,,,19.5
Brandon Miller,CHA,points,14.5,PrizePicks,2026-04-14,,,20.5
Davion Mitchell,MIA,points_rebounds,14.5,PrizePicks,2026-04-14,,,11.0
Davion Mitchell,MIA,points_rebounds_assists,14.5,PrizePicks,2026-04-14,,,17.0
Kon Knueppel,CHA,points,14.5,PrizePicks,2026-04-14,,,21.5
Miles Bridges,CHA,points_assists,14.5,PrizePicks,2026-04-14,,,18.0
Moussa Diabaté,CHA,points,14.5,PrizePicks,2026-04-14,,,8.75
Pelle Larsson,MIA,points,14.5,PrizePicks,2026-04-14,,,9.75
Davion Mitchell,MIA,points,14.5,PrizePicks,2026-04-14,,,8.5
LaMelo Ball,CHA,rebounds_assists,14.5,PrizePicks,2026-04-14,,,14.0
Moussa Diabaté,CHA,points_assists,14.5,PrizePicks,2026-04-14,,,10.5
Moussa Diabaté,CHA,rebounds_assists,14.5,PrizePicks,2026-04-14,,,12.5
Norman Powell,MIA,points,14.5,PrizePicks,2026-04-14,,,20.0
Pelle Larsson,MIA,points_assists,14.5,PrizePicks,2026-04-14,,,14.5
Davion Mitchell,MIA,points_assists,14.5,PrizePicks,2026-04-14,,,14.5
Jaime Jaquez,MIA,points,14.5,PrizePicks,2026-04-14,,,12.25
Kel'el Ware,MIA,points,14.5,PrizePicks,2026-04-14,,,7.5
Moussa Diabaté,CHA,points_rebounds,14.5,PrizePicks,2026-04-14,,,18.5
Coby White,CHA,points_rebounds_assists,14.5,PrizePicks,2026-04-14,,,18.0
Pelle Larsson,MIA,points_rebounds_assists,14.5,PrizePicks,2026-04-14,,,14.5
Miles Bridges,CHA,points_rebounds,14.5,PrizePicks,2026-04-14,,,22.75
Jaime Jaquez,MIA,points_rebounds_assists,14.5,PrizePicks,2026-04-14,,,19.5
Coby White,CHA,points_assists,14.5,PrizePicks,2026-04-14,,,16.5
Grant Williams,CHA,points_rebounds,14.5,PrizePicks,2026-04-14,,,10.5
Ryan Kalkbrenner,CHA,points_rebounds,14.5,PrizePicks,2026-04-14,,,8.5
Norman Powell,MIA,points_assists,14.5,PrizePicks,2026-04-14,,,21.25
Kel'el Ware,MIA,points_assists,14.5,PrizePicks,2026-04-14,,,12.0
Kel'el Ware,MIA,points_rebounds,14.5,PrizePicks,2026-04-14,,,14.5
Bam Adebayo,MIA,rebounds_assists,14.0,PrizePicks,2026-04-14,,,15.25
Bam Adebayo,MIA,rebounds,13.5,PrizePicks,2026-04-14,,,11.0
Moussa Diabaté,CHA,rebounds,13.5,PrizePicks,2026-04-14,,,10.0
Coby White,CHA,points,13.5,PrizePicks,2026-04-14,,,13.5
Jaime Jaquez,MIA,points,13.5,PrizePicks,2026-04-14,,,12.25
Grant Williams,CHA,points_rebounds_assists,13.5,PrizePicks,2026-04-14,,,11.0
LaMelo Ball,CHA,rebounds_assists,13.5,PrizePicks,2026-04-14,,,14.0
Miles Bridges,CHA,points,13.5,PrizePicks,2026-04-14,,,14.25
